Site Name,address,city,state,zip_code
SOUTH MAIN FUEL SERVICE STATION,2 MAIN ST,MARLBORO,NJ,07746
VALERO SERVICE STATION,391 RT 9,MANALAPAN,NJ,07726
NJLG UST1 NJ0206 SERVICE STATION,103 E MAIN ST,FREEHOLD BORO,NJ,07728
GULF SERVICE STATION,1075 NORWOOD AVE,LONG BRANCH,NJ,07740
OCEAN TWP BD OF ED BUS COMPOUND @ OCEAN TWP HIGH SCHOOL,550 W PARK AVE,OCEAN,NJ,07755
MEX #120 SERVICE STATION,2119 RT 35,OCEAN,NJ,07755
COLTS NECK TWP DPW GARAGE,231 RT 34,COLTS NECK,NJ,07722
SPEEDWAY SERVICE STATION #03431,2137 RT 35,OCEAN,NJ,07755
LUKOIL SERVICE STATION #57302,219 NEWMAN SPRINGS RD,SHREWSBURY BORO,NJ,07701
NJ AMERICAN WATER CO,661 SHREWSBURY AVE,SHREWSBURY BORO,NJ,07702
RED BANK EXXON SERVICE STATION,220 NEWMAN SPRINGS RD,RED BANK,NJ,07701
RED BANK SHELL SERVICE STATION,390 SHREWSBURY AVE,RED BANK,NJ,07701
RACEWAY SERVICE STATION,215 RT 9,MARLBORO,NJ,07746
HOLMDEL VILLAGE EXXON SERVICE STATION,46 E MAIN ST,HOLMDEL,NJ,07733
SUNOCO RETAIL,217 RT 34,HOLMDEL,NJ,07733
ROBINS MARLBORO MOBIL,181 RT 9,MARLBORO,NJ,07746
RED BANK BORO DPW,75 CHESTNUT ST,RED BANK,NJ,07701
NAVESINK MARINA,1410 OCEAN AVE,SEA BRIGHT,NJ,07760
PGM #8011,70 RT 9,MARLBORO,NJ,07727
FAIR HAVEN BORO DPW GARAGE,3RD ST & MAPLE AVE,FAIR HAVEN,NJ,07704
COSTCO WHOLESALE #1093,18 RT 9,MARLBORO,NJ,07746
FAIR HAVEN VALERO SERVICE STATION,554 RIVER RD,FAIR HAVEN,NJ,07701
SUNOCO SERVICE STATION #0007 6471,626 RIVER RD,FAIR HAVEN,NJ,07701
RACEWAY SERVICE STATION,237 RT 35,MIDDLETOWN,NJ,07701
SUNOCO SERVICE STATION #0484 4106 7723,1010 OCEAN AVE,SEA BRIGHT,NJ,07760
SEA BRIGHT GULF SERVICE STATION,1006 OCEAN AVE,SEA BRIGHT,NJ,07760
MIDDLETOWN FUEL SERVICE STATION,417 RT 35,MIDDLETOWN,NJ,07758
SHELL SERVICE STATION #138428,RT 35 & OAK HILL RD,MIDDLETOWN,NJ,07748
SPEEDWAY SERVICE STATION #03453,431 435 RT 35,MIDDLETOWN,NJ,07748
EXXON SERVICE STATION #30902,27 W RIVER RD,RUMSON,NJ,07760
EXXON SERVICE STATION #32513,469 RT 79,MARLBORO,NJ,07751
JAYS BUS SERVICE,49 KANES LN,MIDDLETOWN,NJ,07748
BP,863 RT 35,MIDDLETOWN,NJ,07748
GULF SERVICE STATION,239 RT 34,ABERDEEN,NJ,07747
ABERDEEN EXXON SERVICE STATION,1164 RT 34,ABERDEEN,NJ,07747
MATAWAN SUNOCO SERVICE STATION,1103 RT 34,ABERDEEN,NJ,07747
GETTY SERVICE STATION ,4 OCEAN AVE,MONMOUTH BEACH,NJ,07750
